backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
/3PQLohxgvjUQgF94sY5SEgVKSS6.jpg,"[28, 53, 80]",1089,en,Point Break,"In Los Angeles, a gang of bank robbers who call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. Believing that the members of the gang could be surfers, the F.B.I. sends young agent Johnny Utah to the beach undercover to mix with the surfers and gather information.",40.619,/tlbERIghrQ4oofqlbF7H0K0EYnx.jpg,1991-01-31,Point Break,False,7.1,3306
/ntgpger7OwFNlEldxuvvFHDKzjW.jpg,"[80, 53]",1598,en,Cape Fear,"Sam Bowden is a small-town corporate attorney. Max Cady is a tattooed, cigar-smoking, Bible-quoting, psychotic rapist. What do they have in common? 14 years ago, Sam was a public defender assigned to Max Cady's rape trial, and he made a serious error: he hid a document from his illiterate client that could have gotten him acquitted. Now, the cagey Cady has been released, and he intends to teach Sam Bowden and his family a thing or two about loss.",21.105,/9Fu4lPpGVnUP2lZxN604QNwoFGX.jpg,1991-11-13,Cape Fear,False,7.3,3199
/e6T00r0BO3UlgBcPKnAUbS4rPyx.jpg,"[18, 53, 80, 12]",1541,en,Thelma & Louise,"Whilst on a short weekend getaway, Louise shoots a man who had tried to rape Thelma. Due to the incriminating circumstances, they make a run for it and thus a cross country chase ensues for the two fugitives. Along the way, both women rediscover the strength of their friendship and surprising aspects of their personalities and self-strengths in the trying times.",25.723,/gQSUVGR80RVHxJywtwXm2qa1ebi.jpg,1991-05-24,Thelma & Louise,False,7.6,3151
/u5Xd1fhXNX09ZJzgCJX6N3VlvEc.jpg,"[28, 12, 18]",8367,en,Robin Hood: Prince of Thieves,"When the dastardly Sheriff of Nottingham murders Robin's father, the legendary archer vows vengeance. To accomplish his mission, Robin joins forces with a band of exiled villagers (and comely Maid Marian), and together they battle to end the evil sheriff's reign of terror.",42.725,/hbRnWUNJkKKVN5mkcuC5ooqjE4e.jpg,1991-06-14,Robin Hood: Prince of Thieves,False,6.8,3038
/kCW0C3Bv5IsasICx3StdNEejfB5.jpg,"[35, 80]",37137,en,The Naked Gun 2½: The Smell of Fear,"Bumbling lieutenant Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that will put them out of business.",23.298,/v9niLQWVzVPB1cP1ThNdEaLZG1Q.jpg,1991-06-28,The Naked Gun 2½: The Smell of Fear,False,6.8,2052
/uwLI17reYWprmtp6yDCVD8QdNqw.jpg,"[28, 35, 10752]",9595,en,Hot Shots!,"The gang that created Airplane and The Naked Gun sets its sights on Top Gun in this often hilarious spoof starring Charlie Sheen, who previously only inspired laughs with his personal life. He plays Topper Harley, a fighter pilot with an ax to grind: clearing the family name. He gets involved in a relationship with Valerie Golino, a woman with an unusually talented stomach. But his mission is to avenge his father. Lloyd Bridges, late in his career, revealed an aptitude for this kind of silliness, here as a commander who is both incredibly dim and delightfully accident prone. Directed by Jim Abrahams, the film makes fun of a variety of other films as well, from Dances with Wolves to The Fabulous Baker Boys. It was so successful that they all returned in the sequel, Hot Shots! Part Deux.",21.583,/hoPS7RSvdZhZhWf28OfP2IZ0cb3.jpg,1991-07-31,Hot Shots!,False,6.6,2009
/6ZGOy9vXPaKGL6W0aMva9iiiUbj.jpg,"[35, 18]",4032,en,My Girl,"Vada Sultenfuss is obsessed with death. Her mother is dead, and her father runs a funeral parlor. She is also in love with her English teacher, and joins a poetry class over the summer just to impress him. Thomas J., her best friend, is ""allergic to everything"", and sticks with Vada despite her hangups. When Vada's father hires Shelly, and begins to fall for her, things take a turn to the worse...",19.183,/qyJJNHteA7BUwQSey05t7qP4vRV.jpg,1991-11-27,My Girl,False,7.4,1942
/lGJxJQCiEeaoXAoQUvBcv6lRa7U.jpg,"[18, 53, 36]",820,en,JFK,Follows the investigation into the assassination of President John F. Kennedy led by New Orleans district attorney Jim Garrison.,27.867,/r0VWVTYlqdRCK5ZoOdNnHdqM2gt.jpg,1991-12-20,JFK,False,7.6,1936
/6SnFa3qfCvh4aARg6y3UevKLROh.jpg,"[80, 18]",650,en,Boyz n the Hood,Boyz n the Hood is the popular and successful film and social criticism from John Singleton about the conditions in South Central Los Angeles where teenagers are involved in gun fights and drug dealing on a daily basis.,25.517,/v4ox4aSCNT5vyLXl4Q71JiWwCXW.jpg,1991-07-12,Boyz n the Hood,False,7.6,1833
/t8804dyYk2gHusUL092Bkleuyi9.jpg,"[28, 53]",9319,en,The Last Boy Scout,"When the girl that detective Joe Hallenback is protecting gets murdered, the boyfriend of the murdered girl attempts to investigate and solve the case. What they discover is that there is deep seated corruption going on between a crooked politician and the owner of a pro football team.",39.114,/nKTqyWwLxkvoEKkSAGWo1GdiTpb.jpg,1991-12-13,The Last Boy Scout,False,6.8,1726
